City,RegionType,StateName,Date,list_price_data,sale_data,inventory_d2p_data,inventory_4s_data,Year,Month,MonthNumeric,DayOfTheWeek,DayOfTheWeekNumeric
"Seattle, WA",Msa,WA,2018-08-31,573000.0,471950.0,25.0,14311.0,2018,Aug,8,Friday,5
"Seattle, WA",Msa,WA,2018-07-31,585000.0,484719.0,21.0,13735.0,2018,Jul,7,Tuesday,2
"Seattle, WA",Msa,WA,2019-01-31,584900.0,449950.0,47.0,9263.0,2019,Jan,1,Thursday,4
"Seattle, WA",Msa,WA,2018-06-30,599900.0,491000.0,16.0,13147.0,2018,Jun,6,Saturday,6
"Seattle, WA",Msa,WA,2018-04-30,599950.0,499850.0,15.0,9556.0,2018,Apr,4,Monday,1
"Seattle, WA",Msa,WA,2018-03-31,599000.0,475000.0,17.0,8394.0,2018,Mar,3,Saturday,6
"Seattle, WA",Msa,WA,2018-02-28,559950.0,465000.0,22.0,6523.0,2018,Feb,2,Wednesday,3
"Seattle, WA",Msa,WA,2018-01-31,525000.0,434719.0,35.0,6622.0,2018,Jan,1,Wednesday,3
"Seattle, WA",Msa,WA,2018-05-31,599950.0,494719.0,15.0,12175.0,2018,May,5,Thursday,4
"Seattle, WA",Msa,WA,2020-09-30,668880.0,570000.0,16.0,11367.0,2020,Sep,9,Wednesday,3
"Seattle, WA",Msa,WA,2019-02-28,600000.0,480000.0,37.0,8544.0,2019,Feb,2,Thursday,4
"Seattle, WA",Msa,WA,2019-04-30,659950.0,495000.0,22.0,11641.0,2019,Apr,4,Tuesday,2
"Seattle, WA",Msa,WA,2020-07-31,685000.0,549950.0,17.0,11162.0,2020,Jul,7,Friday,5
"Seattle, WA",Msa,WA,2020-06-30,679900.0,539000.0,18.0,10425.0,2020,Jun,6,Tuesday,2
"Seattle, WA",Msa,WA,2020-05-31,674500.0,505000.0,18.0,10029.0,2020,May,5,Sunday,0
"Seattle, WA",Msa,WA,2020-04-30,649999.0,525000.0,15.0,8600.0,2020,Apr,4,Thursday,4
"Seattle, WA",Msa,WA,2020-03-31,675000.0,525000.0,13.0,8769.0,2020,Mar,3,Tuesday,2
"Seattle, WA",Msa,WA,2020-02-29,674995.0,510000.0,22.0,7233.0,2020,Feb,2,Saturday,6
"Seattle, WA",Msa,WA,2019-03-31,639900.0,499000.0,27.0,10799.0,2019,Mar,3,Sunday,0
"Seattle, WA",Msa,WA,2020-01-31,650000.0,482913.0,36.0,6608.0,2020,Jan,1,Friday,5
"Seattle, WA",Msa,WA,2019-11-30,625000.0,485950.0,39.0,9337.0,2019,Nov,11,Saturday,6
"Seattle, WA",Msa,WA,2019-10-31,625000.0,489950.0,33.0,12123.0,2019,Oct,10,Thursday,4
"Seattle, WA",Msa,WA,2019-09-30,620000.0,483875.0,30.0,13450.0,2019,Sep,9,Monday,1
"Seattle, WA",Msa,WA,2019-08-31,624900.0,490493.0,30.0,13993.0,2019,Aug,8,Saturday,6
"Seattle, WA",Msa,WA,2019-06-30,648000.0,505000.0,24.0,15235.0,2019,Jun,6,Sunday,0
"Seattle, WA",Msa,WA,2019-05-31,649950.0,515000.0,19.0,14424.0,2019,May,5,Friday,5
"Seattle, WA",Msa,WA,2019-12-31,630000.0,505000.0,43.0,6633.0,2019,Dec,12,Tuesday,2
